index,Article Title,Date,Authors,Journal,Study Type,Keywords,DOI,Abstract,Topic of interest,Score,Match
52,"Infrequent, but not frequent, reinforcers produce more variable responding and deficient sustained attention in young children with attention-deficit/hyperactivity disorder (ADHD).",2006 May,"Aase H, Sagvolden T","Journal of child psychology and psychiatry, and allied disciplines","Controlled Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1111/j.1469-7610.2005.01468.x,"BACKGROUND: The underlying behavioral/psychological processes of attention-deficit/hyperactivity disorder are unclear. Motivational factors, related to dopamine dysfunction, may play an important role in the development of the behavioral symptoms. Particularly, infrequent, but not frequent, reinforcers  have been suggested to be associated with altered responding and deviant behavior in children with ADHD. The present study was designed to analyze the influence of reinforcement frequency on operationalized measures of hyperactivity, impulsiveness, sustained attention, and response variability. METHODS: Fifty-six  boys, half of whom were diagnosed with ADHD, completed a computerized task presented as a game with two squares on the screen. One square was associated with reinforcement. The task required responses by the computer mouse under contingencies alternating between variable interval schedules of short (mean 2 s) and long (mean 20 s) durations. Reinforcers were cartoon pictures and small trinkets. RESULTS: Overall, there was no difference between children with ADHD and comparison children when reinforcers were given frequently. Statistically significant differences on measures of sustained attention and variability, but not hyperactivity and impulsiveness, were found during infrequent reinforcement only. Age effects interacted with group effects on sustained attention, showing that group differences were found in the young children only. Surprisingly, older comparison children showed increased response variability and no learning. CONCLUSIONS: When reinforcers are infrequent, children with ADHD show deficient sustained attention and increased variability in responding. Computer experience  may have interfered with measures of hyperactivity and impulsiveness. The unexpectedly poor performance of the older comparison children may have been due  to inefficient reinforcers or to verbally governed behavior overruling reinforcer effects. Reinforcer characteristics and experimental procedures are important factors influencing findings in studies investigating motivational factors. The study provides some support for the dynamic developmental theory of ADHD predicting relationships between neurobiological deficits, altered reinforcement  mechanisms, and treatment recommendations.",treatment,0.5545755237045203,1
53,Neurofeedback in adolescents and adults with attention deficit hyperactivity disorder.,2005 May,Butnik SM,Journal of clinical psychology,"Case Reports, Comparative Study, Journal Article, Review",None,https://doi.org/10.1002/jclp.20124,"Neurofeedback is being utilized more commonly today in treating individuals who have attention deficit hyperactivity disorder (ADHD). Neurofeedback, which is based on theories that recognize the organic basis of ADHD, utilizes biofeedback  to guide individuals to regulate their brain activity. Neurofeedback relies on research that has demonstrated that most individuals who have ADHD, as compared to matched peers, have excess slow wave activity and reduced fast wave activity.  It provides immediate feedback to the individual about his or her brain wave activity in the form of a video game, whose action is influenced by the individual's meeting predetermined thresholds of brain activity. Over several sessions of using the video and auditory feedback, individuals reduce their slow  wave activity and/or increase their fast wave activity. Individuals who complete  a course of training sessions often show reduced primary ADHD symptoms. Research  has shown that neurofeedback outcomes compare favorably to those of stimulant medication.",treatment,0.49944873208379265,1
54,Once-a-day Concerta methylphenidate versus three-times-daily methylphenidate in laboratory and natural settings.,2001 Jun,"Pelham WE, Gnagy EM, Burrows-Maclean L, Williams A, Fabiano GA, Morrisey SM, Chronis AM, Forehand GL, Nguyen CA, Hoffman MT, Lock TM, Fielbelkorn K, Coles EK, Panahon CJ, Steiner RL, Meichenbaum DL, Onyango AN, Morse GD",Pediatrics,"Clinical Trial, Comparative Study, Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, P.H.S.",None,https://doi.org/10.1542/peds.107.6.e105,"OBJECTIVE: Methylphenidate (MPH), the most commonly prescribed drug for attention-deficit/hyperactivity disorder (ADHD), has a short half-life, which necessitates multiple daily doses. The need for multiple doses produces problems  with medication administration during school and after-school hours, and therefore with compliance. Previous long-acting stimulants and preparations have  shown effects equivalent to twice-daily dosing of MPH. This study tests the efficacy and duration of action, in natural and laboratory settings, of an extended-release MPH preparation designed to last 12 hours and therefore be equivalent to 3-times-daily dosing. METHODS: Sixty-eight children with ADHD, 6 to 12 years old, participated in a within-subject, double-blind comparison of placebo, immediate-release (IR) MPH 3 times a day (tid), and Concerta, a once-daily MPH formulation. Three dosing levels of medication were used: 5 mg IR  MPH tid/18 mg Concerta once a day (qd); 10 mg IR MPH tid/36 mg Concerta qd; and 15 mg IR MPH tid/54 mg Concerta qd. All children were currently medicated with MPH at enrollment, and each child's dose level was based on that child's MPH dosing before the study. The doses of Concerta were selected to be comparable to  the daily doses of MPH that each child received. To achieve the ascending rate of MPH delivery determined by initial investigations to provide the necessary continuous coverage, Concerta doses were 20% higher on a daily basis than a comparable tid regimen of IR MPH. Children received each medication condition for 7 days. The investigation was conducted in the context of a background clinical behavioral intervention in both the natural environment and the laboratory setting. Parents received behavioral parent training and teachers were taught to  establish a school-home daily report card (DRC). A DRC is a list of individual target behaviors that represent a child's most salient areas of impairment. Teachers set daily goals for each child's impairment targets, and parents provided rewards at home for goal attainment. Each weekday, teachers completed the DRC, and it was used as a dependent measure of individualized medication response. Teachers and parents also completed weekly standardized ratings of behavior and treatment effectiveness. To evaluate the time course of medication effects, children spent 12 hours in a laboratory setting on Saturdays and medication effects were measured using procedures and methods adapted from our summer treatment program. Measures of classroom behavior and academic productivity/accuracy were taken in a laboratory classroom setting during which children completed independent math and reading worksheets. Measures of social behavior were taken in structured, small-group board game settings and unstructured recess settings. Measures included behavior frequency counts, academic problems completed and accuracy, independent observations, teacher and counselor ratings, and individualized behavioral target goals. Reports of adverse events, sleep quality, and appetite were collected. RESULTS: On virtually all measures in all settings, both drug conditions were significantly different from  placebo, and the 2 drugs were not different from each other. In children's regular school settings, both medications improved behavior as measured by teacher ratings and individualized target behaviors (the DRC); these effects were seen into the evening as measured by parent ratings. In the laboratory setting, effects of Concerta were equivalent to tid MPH and lasted at least through 12 hours after dosing. Concerta was significantly superior to tid MPH on 2 parent rating scores, and when asked, more parents preferred Concerta than preferred tid IR MPH or placebo. Side effects on children's sleep and appetite were similar for the 2 preparations. In the lab setting, both medications improved productivity and accuracy on arithmetic seatwork assignments, disruptive and on-task behavior, and classroom rule following. Both medications improved children's rule following and negative behavior in small group board games, as well as in unstructured recess settings. Individual target behaviors also showed significant improvement  with medication across domains in the laboratory setting. Children's behavior across settings deteriorated across the laboratory day, and the primary effect of medication was to prevent this deterioration as the day wore on. Results support  the use of background behavioral treatment in clinical trials of stimulant medication, and illustrate the utility of a measure of individualized daily target goals (ie, the DRC) as an objective measure of medication response in both the laboratory and natural school settings. CONCLUSION: This investigation clearly supports the efficacy of the Concerta long-acting formulation of MPH for  parents who desire to have medication benefits for their child throughout the day and early evening. (ABSTRACT TRUNCATED)",treatment,0.11686879823594266,0
55,Is instrumental variability abnormally high in children exhibiting ADHD and aggressive behavior?,1998 Jul,"Saldana L, Neuringer A",Behavioural brain research,"Journal Article, Research Support, Non-U.S. Gov't, Research Support, U.S. Gov't, Non-P.H.S.",None,https://doi.org/10.1016/s0166-4328(97)00169-1,"To test whether instrumental behavior of some children with attention deficit hyperactivity disorder (ADHD) is more variable than control subjects, the sequences of responses by three groups of children were compared: (i) those diagnosed with ADHD who lived in a residential treatment facility for children demonstrating aggressive behavior; (ii) age-matched children from the same facility who did not have an ADHD diagnosis but who had also demonstrated abnormal levels of aggression; and (iii) normal children from a local school. The experiment consisted of rewarding children for responding in a computer 'game' on two keys of a keyboard during each of three phases. In phase 1, rewards were provided independently of sequence variability (IND). In phase 2, rewards depended upon highly variable sequences of left and right responses. Phase 3 was  a return to the IND contingencies. The results showed that sequence variability was higher in the sequence variability (VARY) phase than in the preceding IND phase, but remained high when the contingencies returned to IND, thus replicating previous findings. In none of the phases did the ADHD children respond more variably than the controls. However, ADHD subjects made more off-task responses than did controls. Thus, although the present research showed differences between ADHD and control subjects, there was no evidence to support higher behavioral variability in the ADHD subjects.",treatment,0.38919514884233736,1
56,What they want and what they get: the social goals of boys with ADHD and comparison boys.,1996 Apr,"Melnick SM, Hinshaw SP",Journal of abnormal child psychology,"Clinical Trial, Controlled Clinical Trial, Journal Article, Research Support, U.S. Gov't, P.H.S.",None,https://doi.org/10.1007/BF01441483,"Twenty-seven boys diagnosed with attention-deficit hyperactivity disorder (ADHD)  and 18 comparison boys participated in a competitive tetradic interaction task. Boys were individually interviewed before the game about their goals for the interaction, and adult observers inferred boys' social goals from videotapes of the interaction. Social acceptance was determined by combining positive and negative sociometric nominations collected through individual interviews at the end of the summer research program in which the interaction was held. In their self-reports, ADHD-high aggressive boys prioritized trouble-seeking and fun at the expense of rules to a greater extent than did both ADHD-low aggressive and comparison boys. Observers judged ADHD-high aggressive boys to seek attention more strongly and seek fairness less strongly than of the other two groups. Self-reported goals of defiance and cooperation predicted boys' end-of-program social standing, even with interactional behaviors and subgroup status controlled statistically. Observer-inferred goals were differentially associated with social acceptance for ADHD and comparison boys, suggesting discontinuities in peer interaction processes. Differentiation of goals from behavior and the integral role of children's goals in peer acceptance are discussed.",treatment,0.278941565600882,1
57,Malleability of social impressions of hyperactive children.,1993 Dec,"Granger DA, Whalen CK, Henker B",Journal of abnormal child psychology,"Clinical Trial, Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1007/BF00916447,"The role of adults' social cognitions in mediating judgments of hyperactive children's medication-related behavior change was explored. Two hundred eight-eight undergraduates observed two videotaped excerpts of a hyperactive ""target"" boy playing a group game with two peers. Each target was taking either methylphenidate (0.6 mg/kg) during both excerpts, placebo during both excerpts, methylphenidate first followed by placebo, or placebo first followed by methylphenidate. Adults' cumulative social evaluations of the child were assessed after they viewed both video segments. Results indicated that observers combined  their perceptions of the two behavior samples into composite impressions using an equal-weight averaging algorithm. Even for children whose behavior improved, adults' ratings of undercontrolled behaviors continued to meet or, in some cases  exceed, research cutoff scores used to identify hyperactive children. The findings suggest that the actual behaviors of children with attention-deficit hyperactivity disorder (ADHD) play a more influential role in shaping interpersonal impressions than do perceiver social-cognitive processes such as primacy, recency, or integration biases.",treatment,0.3340683572216097,1
58,Perceptions of methylphenidate effects on hyperactive children's peer interactions.,1993 Oct,"Granger DA, Whalen CK, Henker B",Journal of abnormal child psychology,Journal Article,None,https://doi.org/10.1007/BF00916318,"The behavioral constructs that emerge from observers' open-ended impressions of methylphenidate effects on the social behaviors of hyperactive children were examined. Ninety-six undergraduates observed videotapes of two different hyperactive ""target"" boys, each playing an interaction game with three peers. One target was taking methylphenidate and the other was taking placebo. The valence and content of observers' social perceptions were analyzed. Overall, more negative than positive behaviors were detected, a pattern more pronounced for the placebo than for the medication condition. Interestingly, placebo targets received negative evaluations for poorly controlled behaviors such as noncompliance, aggression, and disruption, but medicated targets received negative evaluations for social inhibition--passive and submissive behaviors. In  contrast, the boys' medication state did not consistently influence observers' perceptions of positive social behaviors. Discussion focused on the extent and consequences of medication-related increases in social disengagement and on the ultimate impact of stimulant treatment on hyperactive children's social worlds.",treatment,0.278941565600882,1
60,"Effects of background anger, provocation, and methylphenidate on emotional arousal and aggressive responding in attention-deficit hyperactivity disordered boys with and without concurrent aggressiveness.",1991 Aug,"Pelham WE, Milich R, Cummings EM, Murphy DA, Schaughency EA, Greiner AR",Journal of abnormal child psychology,"Journal Article, Research Support, U.S. Gov't, P.H.S.",None,https://doi.org/10.1007/BF00919086,"We investigated the effects of background anger, provocation, and methylphenidate on emotional, physiological, and behavioral responding in children with attention-deficit hyperactivity disorder (ADHD) with and without concurrent aggression. Our study revealed that ADHD boys showed more emotional and physiological distress when exposed to an interaction in which an administrator chastised each boy's favorite counselor, compared to a friendly interaction between the two adults. The background anger manipulation did not affect the aggressive behavior of the boys against an opponent in an aggressive game. High-aggressive (HA) ADHD boys were more likely to respond to provocation with aggression than low-aggressive (LA) ADHD boys, but only LA boys showed increased  physiological reactivity with increasing provocation. Methylphenidate resulted in increased heart rates under all conditions and did not interact with any of the other findings.",treatment,0.49944873208379265,1
61,Methylphenidate and baseball playing in ADHD children: who's on first?,1990 Feb,"Pelham WE, McBurnett K, Harper GW, Milich R, Murphy DA, Clinton J, Thiele C",Journal of consulting and clinical psychology,"Clinical Trial, Controlled Clinical Trial, Journal Article, Randomized Controlled Trial",None,https://doi.org/10.1037/0022-006X.58.1.130,"The effects of 0.3 and 0.6 mg/kg methylphenidate were analyzed in a double-blind, placebo-controlled, cross-over study in which 17 boys (ages 7.8-9.9 years) with attention deficit hyperactivity disorder (ADHD) played in baseball games. Drug effects were evaluated on children's attention during the game, as indicated by their on-task behavior on the field and their ability to answer questions about the status of the game at all times. Judgment during batting, batting skill during the game, and performance on skill drills prior to the game were also assessed as a function of medication. Results revealed that methylphenidate had a beneficial effect on attending during the game.",treatment,0.07497243660418963,0
62,Psychology of computers: XIV. Cognitive rehabilitation through computer games.,1989 Dec,"Larose S, Gagnon S, Ferland C, Pepin M",Perceptual and motor skills,"Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1177/00315125890693-126,"The purpose of this study was to test the hypothesis that computer games may be an efficient therapeutic tool in a cognitive rehabilitation program. 60 subjects  who showed attention difficulties with or without cerebral dysfunctions participated in a 12-hr. training program based on intensive use of a computer game. Analyses show improvement for the experimental group on scanning and tracking variables, notwithstanding the nature of their particular dysfunctions.  Recommendations are presented regarding the nature and content of the cognitive tasks in a rehabilitation program.",treatment,0.00661521499448732,0
63,Peer perceptions of hyperactivity and medication effects.,1987 Jun,"Whalen CK, Henker B, Castro J, Granger D",Child development,"Clinical Trial, Controlled Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1111/j.1467-8624.1987.tb01422.x,"This study focused on peer sensitivity to differences in social behaviors between hyperactive and normal comparison peers and, especially, to medication-related behavioral differences. In Study 1, normal sixth graders rated videotapes of normal and hyperactive boys playing a social interaction game. Half of the hyperactive boys were taking methylphenidate, and the other half placebo. In Study 2, fourth- and sixth-grade children rated a different sample of hyperactive boys (seen on both methylphenidate and placebo) playing the same interaction game. Hyperactive boys taking placebo were perceived as exhibiting more externalizing problem behaviors than either medicated hyperactive boys or comparison boys. The medication effects were robust, spanning many behavioral domains and emerging consistently across the 2 studies. There were few grade or gender differences. Discussion focused on children's detection of treatment-related differences in the social behaviors of their peers, as well as  on the imperfect relation between social behavior and social standing.",treatment,0.2822491730981257,1
64,Brain-Computer Interface Design and Neurofeedback Training in the Case of ADHD Rehabilitation.,2020,"Sagiadinou M, Plerou A",Advances in experimental medicine and biology,Journal Article,"ADHD, Brain-computer interface, Cognition, Learning theories, Neurofeedback training",https://doi.org/10.1007/978-3-030-32622-7_19,"Neurofeedback video games respond to electrical brain signals instead to a mouse, joystick, or game controller input. These games embody the concept of improving physiological functioning by rewarding specific healthy body signals with success at playing a video game. In this paper, a threefold framework in reference to attention deficit disorder (ADD) and attention deficit hyperactivity disorder (ADHD) treatment blending with neurofeedback techniques and video game implementation is presented. In particular, the specifications of a neurofeedback-based video game for children dealing with ADHD, in order to enhance attention and concentration skills, are analyzed. Potential boundaries of this cognitive enhancement approach and authors future directions are also discussed.",cognitive enhancement,1.0,1
65,The lived experiences of adults with attention-deficit/hyperactivity disorder: A  rapid review of qualitative evidence.,2022,"Ginapp CM, Macdonald-Gagnon G, Angarita GA, Bold KW, Potenza MN",Frontiers in psychiatry,"Journal Article, Review","ADHD, adult, attentional dysregulation, emotional dysregulation, lived experiences, qualitative research",https://doi.org/10.3389/fpsyt.2022.949321,"Attention-deficit/hyperactivity disorder (ADHD) is a common condition that frequently persists into adulthood, although research and diagnostic criteria are focused on how the condition presents in children. We aimed to review qualitative research on lived experiences of adults with ADHD to characterize potential ADHD  symptomatology in adulthood and provide perspectives on how needs might be better met. We searched three databases for qualitative studies on ADHD. Studies (n = 35) in English that included data on the lived experiences of adults with ADHD were included. These studies covered experiences of receiving a diagnosis as an adult, symptomatology of adult ADHD, skills used to adapt to these symptoms, relationships between ADHD and substance use, patients' self-perceptions, and participants' experiences interacting with society. Many of the ADHD symptoms reported in these studies had overlap with other psychiatric conditions and may contribute to misdiagnosis and delays in diagnosis. Understanding symptomatology  of ADHD in adults may inform future diagnostic criteria and guide interventions to improve quality of life.",diagnosis support,1.0,1
66,Effect of game-based high-intensity interval training program on the executive function of children with ADHD: Protocol of a randomized controlled trial.,2022,"Sun F, Chow GC, Yu CC, Ho YF, Liu D, Wong SH, Siu PM, Cooper SB, Jenkins D",PloS one,"Clinical Trial Protocol, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0272121,"BACKGROUND: Attention-deficit/hyperactivity disorder (ADHD) is a common developmental disorder in childhood, with a 5%-6% worldwide prevalence. Children  with ADHD often demonstrate impaired executive function, which is closely related to the development of the commonly observed behavioral problems such as inattention, impaired inhibition, and hyperactivity. The purpose of this study is to examine whether a game-based high-intensity interval training (HIIT) program can improve the executive function of children with ADHD, compared with a traditional structured aerobic exercise program and a non-treatment control group. METHODS/DESIGN: A total of 42 children with ADHD will be recruited to participate in this three-arm school-based randomized controlled trial. An 8-week specially designed game-based HIIT (GameHIIT) program and a traditional game-based structured aerobic exercise (GameSAE) program will be delivered to those children randomly assigned to these two intervention groups, while the children in the control group will maintain their regular physical activity over  the same period. A number of outcome measures including executive function, cerebral hemodynamic response, physical activity, physical fitness, and enjoyment and adherence to the intervention will be assessed for both groups at baseline (T0), immediately after the intervention period (T1), and after the follow-up period (T2). DISCUSSION: HIIT has recently emerged as a feasible and efficacious  strategy for increasing physical health outcomes and cognitive function, including executive function, in healthy young people. However, research has yet  to investigate whether the executive function of children with ADHD can be effectively enhanced through HIIT. If, as hypothesized, GameHIIT program improves outcomes for children with ADHD, the present research will inform the development of targeted exercise programs that can be more broadly used with this particular  population.",diagnosis support,0.3368310598111227,1
67,Attention Deficit Hyperactivity Disorder Assessment Based on Patient Behavior Exhibited in a Car Video Game: A Pilot Study.,2022 Jul 1,"Sujar A, Bayona S, Delgado-Gomez D, Miguelez-Fernandez C, Ardoy-Cuadros J, Penuelas-Calvo I, Baca-Garcia E, Blasco-Fontecilla H",Brain sciences,Journal Article,"ADHD, attention deficits, attention span, behavioral patterns, e-health, hyperactivity, inattention, neurodevelopmental disorders, video games",https://doi.org/10.3390/brainsci12070877,"Symptoms of Attention Deficit Hyperactivity Disorder (ADHD) include excessive activity, difficulty sustaining attention, and inability to act in a reflective manner. Early diagnosis and treatment of ADHD is key but may be influenced by the observation and communication skills of caregivers, and the experience of the medical professional. Attempts to obtain additional measures to support the medical diagnosis, such as reaction time when performing a task, can be found in  the literature. We propose an information recording system that allows to study in detail the behavior shown by children already diagnosed with ADHD during a car driving video game. We continuously record the participants' activity throughout  the task and calculate the error committed. Studying the trajectory graphs, some  children showed uniform patterns, others lost attention from one point onwards, and others alternated attention/inattention intervals. Results show a dependence  between the age of the children and their performance. Moreover, by analyzing the positions by age over time using clustering, we show that it is possible to classify children according to their performance. Future studies will examine whether this detailed information about each child's performance pattern can be used to fine-tune treatment.",diagnosis support,0.694648478488982,1
68,Digital cognitive training in children with attention-deficit/hyperactivity disorder: a study protocol of a randomised controlled trial.,2022 Jun 16,"Richmond S, Kirk H, Gaunson T, Bennett M, Bellgrove MA, Cornish K",BMJ open,"Clinical Trial Protocol, Journal Article, Research Support, Non-U.S. Gov't","*child & adolescent psychiatry, *education & training (see medical education & training), *paediatrics",https://doi.org/10.1136/bmjopen-2021-055385,"INTRODUCTION: Attention-deficit/hyperactivity disorder (ADHD) is one of the most  prevalent neurodevelopmental disorders and is a persistent pattern of inattention and/or hyperactivity-impulsivity that interferes with daily functioning. Children with ADHD are developmentally vulnerable, with the disorder linked to emotional regulation difficulties, behavioural disturbances, as well as academic challenges. Emerging evidence suggests that children with ADHD may benefit from cognitive training interventions, including those focused on attention. This study aims to assess the immediate and long-term efficacy of an attention training intervention in children with ADHD. METHODS AND ANALYSIS: This study is  a preregistered, parallel, double blind, randomised controlled trial. Participants will comprise 104 children with a diagnosis of ADHD aged 5-8 years 11 months. Participants will be randomly allocated to either an adaptive, digital game-based (1) attention training programme (intervention) or (2) a numeracy programme (control). Both programmes will be delivered on a touchscreen tablet, and children will complete five 20 min sessions per week for a 5-week period at home (25 sessions in total). Assessments of the primary outcome (ie, attention and inhibitory control) and secondary outcomes (ie, selective attention, interference control, sustained attention, inhibition, behavioural attention, impairment in everyday functioning, working memory and executive functioning) will occur at preintervention, immediately postintervention and at 3-month follow-up. Multivariate linear regression will be employed to examine primary and secondary outcomes. The data analyst will be blinded to group membership. ETHICS  AND DISSEMINATION: Ethics approval has been obtained from the Monash University HREC (20495). Results will be disseminated through peer-reviewed journals, conference presentations, media outlets, the internet and various community/stakeholder activities. TRIAL REGISTRATION NUMBER: ACTRN12620000964910, UTN U1111-1250-2620.",diagnosis support,0.540398740818468,1
69,Automated detection of ADHD: Current trends and future perspective.,2022 Jul,"Loh HW, Ooi CP, Barua PD, Palmer EE, Molinari F, Acharya UR",Computers in biology and medicine,"Journal Article, Review","*Accelerometer, *Actigraphy, *Artificial intelligence, *Attention deficit hyperactivity disorder (ADHD), *CPT, *Deep learning, *ECG, *EEG, *Genetic, *HRV, *MRI, *Machine learning, *PRISMA, *Pupillometric, *Questionnaires, *RST, *Social media",https://doi.org/10.1016/j.compbiomed.2022.105525,"Attention deficit hyperactivity disorder (ADHD) is a heterogenous disorder that has a detrimental impact on the neurodevelopment of the brain. ADHD patients exhibit combinations of inattention, impulsiveness, and hyperactivity. With early treatment and diagnosis, there is potential to modify neuronal connections and improve symptoms. However, the heterogeneous nature of ADHD, combined with its comorbidities and a global shortage of diagnostic clinicians, means diagnosis of  ADHD is often delayed. Hence, it is important to consider other pathways to improve the efficiency of early diagnosis, including the role of artificial intelligence. In this study, we reviewed the current literature on machine learning and deep learning studies on ADHD diagnosis and identified the various diagnostic tools used. Subsequently, we categorized these studies according to their diagnostic tool as brain magnetic resonance imaging (MRI), physiological signals, questionnaires, game simulator and performance test, and motion data. We identified research gaps include the paucity of publicly available database for all modalities in ADHD assessment other than MRI, as well as a lack of focus on using data from wearable devices for ADHD diagnosis, such as ECG, PPG, and motion data. We hope that this review will inspire future work to create more publicly available datasets and conduct research for other modes of ADHD diagnosis and monitoring. Ultimately, we hope that artificial intelligence can be extended to multiple ADHD diagnostic tools, allowing for the development of a powerful clinical decision support pathway that can be used both in and out of the hospital.",diagnosis support,0.7345225603357817,1
70,Associations Between Video Game Engagement and ADHD Symptoms in Early Adolescence.,2022 Aug,"Tiraboschi GA, West GL, Boers E, Bohbot VD, Fitzpatrick C",Journal of attention disorders,"Journal Article, Research Support, Non-U.S. Gov't","ADHD, adolescence, screens, video games",https://doi.org/10.1177/10870547211073473,"OBJECTIVE: We aim to investigate the direction of causality of the association between adolescent video game playing and later development of ADHD symptoms using a population-based sample of Canadian Youth. METHOD: The present study is based on longitudinal cohort data (N = 1,467). Youth self-reported weekly hours of video game playing as well as ADHD symptoms at both 12 and 13 years of age. RESULTS: Cross-lagged panel model were estimated to examine how adolescent video  game playing prospectively contributes to ADHD symptoms while simultaneously considering how adolescent ADHD symptoms may prospectively contribute to videogame playing. Analyses revealed a significant positive association between adolescent video games playing at age 12 and ADHD symptoms at age 13. Youth ADHD  symptoms at age 12 did not predict video game use at age 13. CONCLUSION: Our results help clarify the direction of causality of the association between video  game playing and ADHD symptoms and provide evidence that video game playing can represent a risk factor for the development of attention problems in early adolescence.",diagnosis support,0.6295907660020985,1
71,Enhancing neural markers of attention in children with ADHD using a digital therapeutic.,2021,"Gallen CL, Anguera JA, Gerdes MR, Simon AJ, Canadas E, Marco EJ",PloS one,"Clinical Trial, Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1371/journal.pone.0261981,"Attention deficit hyperactivity disorder (ADHD) is a prevalent neurodevelopmental condition characterized by diminished attentional control. Critically, these difficulties are related to negative consequences in real-life functioning both during development and into adulthood. There is now growing evidence that modulating the underlying neural circuits related to attention can improve behavior and brain function in children with ADHD. We have previously shown that  game-based digital therapeutics targeting a key neural marker of attention-midline frontal theta (MFT)-yield positive effects on attentional control in several populations. However, the effects of such digital therapeutics in children with ADHD and no other comorbidities has not been yet examined. To address this gap, we assessed a sample of 25 children with ADHD (8-12 years old)  on neural, behavioral, and clinical metrics of attention before and after a 4-week at-home intervention on an iPad targeting MFT circuitry. We found that children showed enhancements on a neural measure of attention (MFT power), as well as on objective behavioral measures of attention and parent reports of clinical ADHD symptoms. Importantly, we observed relationships between the neural and behavioral cognitive improvements, demonstrating that those children who showed the largest intervention-related neural gains were also those that improved the most on the behavioral tasks indexing attention. These findings provide support for using targeted, digital therapeutics to enhance multiple features of attentional control in children with ADHD. Study registration: ClinicalTrials.gov registry (NCT03844269) https://clinicaltrials.gov/ct2/show/NCT03844269.",diagnosis support,0.3336831059811122,1
72,Screen Use and Mental Health Symptoms in Canadian Children and Youth During the COVID-19 Pandemic.,2021 Dec 1,"Li X, Vanderloo LM, Keown-Stoneman CDG, Cost KT, Charach A, Maguire JL, Monga S, Crosbie J, Burton C, Anagnostou E, Georgiades S, Nicolson R, Kelley E, Ayub M, Korczak DJ, Birken CS",JAMA network open,"Journal Article, Research Support, Non-U.S. Gov't",None,https://doi.org/10.1001/jamanetworkopen.2021.40875,"Importance: Longitudinal research on specific forms of electronic screen use and  mental health symptoms in children and youth during COVID-19 is minimal. Understanding the association may help develop policies and interventions targeting specific screen activities to promote healthful screen use and mental health in children and youth. Objective: To determine whether specific forms of screen use (television [TV] or digital media, video games, electronic learning, and video-chatting time) were associated with symptoms of depression, anxiety, conduct problems, irritability, hyperactivity, and inattention in children and youth during COVID-19. Design, Setting, and Participants: A longitudinal cohort study with repeated measures of exposures and outcomes was conducted in children  and youth aged 2 to 18 years in Ontario, Canada, between May 2020 and April 2021  across 4 cohorts of children or youth: 2 community cohorts and 2 clinically referred cohorts. Parents were asked to complete repeated questionnaires about their children's health behaviors and mental health symptoms during COVID-19. Main Outcomes and Measures: The exposure variables were children's daily TV or digital media time, video game time, electronic-learning time, and video-chatting time. The mental health outcomes were parent-reported symptoms of child depression, anxiety, conduct problems and irritability, and hyperactivity/inattention using validated standardized tools. Results: This study included 2026 children with 6648 observations. In younger children (mean [SD] age, 5.9 [2.5] years; 275 male participants [51.7%]), higher TV or digital media  time was associated with higher levels of conduct problems (age 2-4 years: beta,  0.22 [95% CI, 0.10-0.35]; P < .001; age >/=4 years: beta, 0.07 [95% CI, 0.02-0.11]; P = .007) and hyperactivity/inattention (beta, 0.07 [95% CI, 0.006-0.14]; P = .04). In older children and youth (mean [SD] age, 11.3 [3.3] years; 844 male participants [56.5%]), higher levels of TV or digital media time  were associated with higher levels of depression, anxiety, and inattention; higher levels of video game time were associated with higher levels of depression, irritability, inattention, and hyperactivity. Higher levels of electronic learning time were associated with higher levels of depression and anxiety. Conclusions and Relevance: In this cohort study, higher levels of screen use were associated poor mental health of children and youth during the COVID-19  pandemic. These findings suggest that policy intervention as well as evidence-informed social supports are needed to promote healthful screen use and  mental health in children and youth during the pandemic and beyond.",diagnosis support,0.037775445960125914,0
